taxon.name,taxon.id,obs.date,create.time,latitude,longitude,user.name,license,url
Craspedacusta sowerbii,208528,2025-05-21,2025-05-21T07:15:45.591Z,45.776977907,16.0267587751,lanamalovic,CC-BY-NC,https://www.inaturalist.org/observations/282828566
Craspedacusta sowerbii,208528,2025-05-21,2025-05-21T10:27:27.418Z,45.7769652623,16.0266561806,karmela_adzic,CC-BY-NC,https://www.inaturalist.org/observations/282852267
Palingenia longicauda,570367,2025-05-26,2025-05-29T17:45:24.003Z,47.0021383333,16.6002466667,danrobert,CC-BY-NC,https://www.inaturalist.org/observations/285121261
Craspedacusta sowerbii,208528,2025-06-01,2025-06-01T10:44:54.850Z,45.7751592927,16.0246659407,valenakvadrat,CC-BY-NC,https://www.inaturalist.org/observations/285906485
Craspedacusta sowerbii,208528,2025-06-01,2025-06-01T15:16:15.658Z,45.775149868,16.0248809787,sebcato,CC-BY-NC,https://www.inaturalist.org/observations/285971357
Palingenia longicauda,570367,2025-05-30,2025-06-02T20:19:54.956Z,45.212425,28.863245,luksza,CC-BY,https://www.inaturalist.org/observations/286365606
Palingenia longicauda,570367,2025-06-04,2025-06-04T18:01:20.134Z,47.5625716667,17.04097,andras29,NA,https://www.inaturalist.org/observations/286848810
Palingenia longicauda,570367,2025-06-04,2025-06-04T19:18:27.209Z,47.562245,17.0409116667,andras29,NA,https://www.inaturalist.org/observations/286866362
Craspedacusta sowerbii,208528,2025-06-05,2025-06-05T17:12:27.705Z,49.3951666667,26.9539861111,mykhailo131313,CC-BY-NC,https://www.inaturalist.org/observations/287090051
Palingenia longicauda,570367,2025-06-15,2025-06-15T16:58:52.939Z,46.2528883333,20.1536055,lucimc,NA,https://www.inaturalist.org/observations/289878763
Palingenia longicauda,570367,2025-06-16,2025-06-16T17:45:40.212Z,46.3510889048,20.2031520009,zsolt63716,CC-BY-NC,https://www.inaturalist.org/observations/290187928
Palingenia longicauda,570367,2025-06-17,2025-06-17T17:10:20.324Z,47.1682859627,20.1874761656,vadrienn00,NA,https://www.inaturalist.org/observations/290444767
Palingenia longicauda,570367,2025-06-18,2025-06-18T16:39:50.760Z,47.2767667,20.4443831,mlns,NA,https://www.inaturalist.org/observations/290703995
Palingenia longicauda,570367,2025-06-19,2025-06-20T14:32:26.086Z,47.1707691853,20.1958362429,berlasz,CC-BY-NC,https://www.inaturalist.org/observations/291208773
Pectinatella magnifica,68103,2025-06-22,2025-06-22T15:55:30.150Z,48.9503397814,15.0431568548,bella67685,CC-BY-NC,https://www.inaturalist.org/observations/291815380
Palingenia longicauda,570367,2025-06-15,2025-06-25T12:41:07.523Z,45.6143141463,20.0474078581,svetlana4458,CC-BY-NC,https://www.inaturalist.org/observations/292599626
Pectinatella magnifica,68103,2025-06-29,2025-06-29T12:49:20.017Z,48.94632,15.0453721667,zuzana_tomkova,NA,https://www.inaturalist.org/observations/293717784
Craspedacusta sowerbii,208528,2025-07-03,2025-07-03T15:12:54.644Z,50.8051658173,6.8862658739,yeti-61,CC-BY-NC,https://www.inaturalist.org/observations/294862216
Craspedacusta sowerbii,208528,2025-07-11,2025-07-12T13:31:17.059Z,48.1927130983,17.0875947767,tom_cejka,CC-BY-NC,https://www.inaturalist.org/observations/297276425
Palingenia longicauda,570367,2025-06-23,2025-07-13T06:29:22.600Z,47.0547938998,20.1609538906,kunandras,CC-BY-NC,https://www.inaturalist.org/observations/297510133
Craspedacusta sowerbii,208528,2025-07-13,2025-07-13T12:11:25.415Z,48.1068658,17.1132790997,grace896,NA,https://www.inaturalist.org/observations/297560647
Pectinatella magnifica,68103,2025-07-13,2025-07-13T18:50:01.080Z,48.9487601839,15.0450541824,mariannska,CC-BY-NC,https://www.inaturalist.org/observations/297672372
Ephoron virgo,546144,2025-07-05,2025-07-14T19:15:36.713Z,51.4316447994,13.0083274668,adlerauge,CC-BY-NC,https://www.inaturalist.org/observations/297968184
Ephoron virgo,546144,2025-07-19,2025-07-19T22:29:59.694Z,46.2121116667,20.249895,hudak-zoli,NA,https://www.inaturalist.org/observations/299330930
Craspedacusta sowerbii,208528,2025-07-20,2025-07-20T11:00:57.259Z,48.2916883333,16.35468,mattyratty,CC-BY-NC,https://www.inaturalist.org/observations/299471517
Ephoron virgo,546144,2025-07-19,2025-07-20T17:31:58.828Z,47.6015625,19.3475933056,tete15,CC-BY-NC,https://www.inaturalist.org/observations/299575770
Ephoron virgo,546144,2025-07-19,2025-07-21T13:32:24.084Z,46.2120288787,20.2499532388,lililajtar,CC-BY-NC,https://www.inaturalist.org/observations/299828527
Ephoron virgo,546144,2025-07-23,2025-07-24T20:45:26.435Z,47.5205783207,19.042060934,kordaslevente,NA,https://www.inaturalist.org/observations/300772112
Ephoron virgo,546144,2025-07-25,2025-07-25T20:27:02.451Z,47.5051416667,19.0635861667,pashaefface,CC-BY,https://www.inaturalist.org/observations/301028539
Ephoron virgo,546144,2025-07-25,2025-07-26T16:17:58.923Z,47.4684943747,19.0702489926,berlasz,CC-BY-NC,https://www.inaturalist.org/observations/301242921
Ephoron virgo,546144,2025-07-26,2025-07-26T21:02:15.233Z,50.9291583333,6.9569133333,markbenecke,CC-BY-NC,https://www.inaturalist.org/observations/301321274
Ephoron virgo,546144,2025-07-26,2025-07-27T05:31:54.550Z,47.5709779297,19.3728007749,valamizoli,NA,https://www.inaturalist.org/observations/301426439
Ephoron virgo,546144,2025-07-27,2025-07-27T05:37:14.561Z,47.5431466615,19.6064697113,termeszet1,CC0,https://www.inaturalist.org/observations/301427172
Ephoron virgo,546144,2025-07-26,2025-07-27T09:12:56.286Z,47.5257979586,19.0779277682,shaaya,CC-BY-NC,https://www.inaturalist.org/observations/301456673
Ephoron virgo,546144,2025-07-26,2025-07-27T11:06:00.174Z,47.5002960687,19.0614375436,ppseprus,CC-BY-NC,https://www.inaturalist.org/observations/301474928
Ephoron virgo,546144,2025-07-26,2025-07-27T18:14:03.406Z,51.4182675,6.787809,bjoerns,CC-BY,https://www.inaturalist.org/observations/301595248
Ephoron virgo,546144,2025-07-26,2025-07-27T18:14:05.546Z,51.4182675,6.787809,bjoerns,CC-BY,https://www.inaturalist.org/observations/301595269
Ephoron virgo,546144,2025-07-27,2025-07-27T20:12:30.560Z,47.653360592,19.4843421131,mtpalaga,NA,https://www.inaturalist.org/observations/301630528
Ephoron virgo,546144,2025-07-27,2025-07-28T09:15:13.797Z,47.530138,19.07067,barnabas55597,NA,https://www.inaturalist.org/observations/301775476
Ephoron virgo,546144,2025-07-28,2025-07-28T17:48:27.056Z,47.5325663677,19.066500552,krisztina85,CC-BY,https://www.inaturalist.org/observations/301882575
Ephoron virgo,546144,2025-07-28,2025-07-28T20:07:42.158Z,47.515305,19.03715,morgremlin,CC-BY-NC,https://www.inaturalist.org/observations/301916688
Ephoron virgo,546144,2025-07-28,2025-07-28T20:30:58.763Z,47.5340467983,19.074434191,horvath_zsofia,CC-BY-NC,https://www.inaturalist.org/observations/301922498
Ephoron virgo,546144,2025-07-28,2025-07-29T09:32:20.904Z,47.507325,19.0395195,rociomb,NA,https://www.inaturalist.org/observations/302046399
Ephoron virgo,546144,2025-07-23,2025-07-29T11:13:29.981Z,51.1162954646,14.8550122976,lisalotti,CC-BY-NC,https://www.inaturalist.org/observations/302059358
Ephoron virgo,546144,2025-07-29,2025-07-29T21:32:18.157Z,47.5173981488,19.2125461623,molnora,,https://www.inaturalist.org/observations/302196464
Ephoron virgo,546144,2025-07-29,2025-07-30T05:43:53.438Z,51.1746889894,6.8630391972,tt2019,CC-BY-NC,https://www.inaturalist.org/observations/302283188
Ephoron virgo,546144,2025-07-26,2025-07-30T07:24:27.760Z,46.8532099636,16.5007999912,tgeri,CC-BY-NC,https://www.inaturalist.org/observations/302294145
Craspedacusta sowerbii,208528,2025-07-30,2025-07-30T17:54:53.016Z,47.7193916667,17.5784166667,zoltan_csizmadia,CC-BY-NC,https://www.inaturalist.org/observations/302403863
Ephoron virgo,546144,2025-07-31,2025-07-30T22:01:46.307Z,47.1530706335,19.7134067942,nitite,CC-BY-NC,https://www.inaturalist.org/observations/302464286
Ephoron virgo,546144,2025-07-31,2025-07-31T17:58:35.688Z,47.6667823611,19.0776672222,balazs00,CC-BY-NC,https://www.inaturalist.org/observations/302661627
Ephoron virgo,546144,2025-07-31,2025-08-01T23:24:53.991Z,53.0610805556,8.8648972222,c254,NA,https://www.inaturalist.org/observations/302988065
Ephoron virgo,546144,2025-08-02,2025-08-02T18:16:25.996Z,47.4963616667,19.0475666667,hnnlea,CC-BY-NC,https://www.inaturalist.org/observations/303192688
Craspedacusta sowerbii,208528,2025-08-02,2025-08-02T21:52:37.209Z,47.3103495737,15.374526009,isadoraisadorable,CC-BY-NC,https://www.inaturalist.org/observations/303250544
Ephoron virgo,546144,2025-07-31,2025-08-04T08:35:15.704Z,47.5925430631,19.3586071953,tete15,CC-BY-NC,https://www.inaturalist.org/observations/303665224
Ephoron virgo,546144,2025-08-04,2025-08-04T18:26:48.902Z,47.5463933,19.0678119,ratibor,CC-BY-NC,https://www.inaturalist.org/observations/303775607
Ephoron virgo,546144,2025-08-03,2025-08-07T20:41:19.529Z,47.5001055556,19.0511166667,vos1,NA,https://www.inaturalist.org/observations/304563750
Ephoron virgo,546144,2025-08-09,2025-08-09T17:50:00.186Z,47.8169496,18.995794,fotoska,CC-BY-NC,https://www.inaturalist.org/observations/305019264
Ephoron virgo,546144,2025-08-09,2025-08-09T22:17:29.338Z,47.8879404,18.7581343,adamegri,CC0,https://www.inaturalist.org/observations/305083101
Ephoron virgo,546144,2025-07-29,2025-08-10T18:06:32.459Z,47.6208601132,18.8407259691,xespok,CC-BY-NC,https://www.inaturalist.org/observations/305307803
Pectinatella magnifica,68103,2025-08-11,2025-08-11T19:37:50.509Z,48.2089176481,17.8009049222,otofrog,CC-BY-NC,https://www.inaturalist.org/observations/305602563
Craspedacusta sowerbii,208528,2025-08-12,2025-08-12T16:30:19.324Z,49.1807786887,8.468286987,hajo,CC-BY-NC,https://www.inaturalist.org/observations/305804028
Ephoron virgo,546144,2025-08-14,2025-08-14T21:18:09.850Z,50.000369445,8.0183305,kamody,CC-BY-NC,https://www.inaturalist.org/observations/306342213
Craspedacusta sowerbii,208528,2025-08-15,2025-08-17T10:49:13.745Z,49.362959212,8.4621458443,morgane_a99,CC-BY-NC,https://www.inaturalist.org/observations/306967898
Ephoron virgo,546144,2025-08-09,2025-08-17T20:55:13.488Z,47.6788770487,19.0926104564,xespok,CC-BY-NC,https://www.inaturalist.org/observations/307117267
Ephoron virgo,546144,2025-08-09,2025-08-17T20:55:25.905Z,47.6788770487,19.0926104564,xespok,CC-BY-NC,https://www.inaturalist.org/observations/307117361
Ephoron virgo,546144,2025-08-15,2025-08-18T13:04:13.255Z,47.684365,18.4418733333,andras29,NA,https://www.inaturalist.org/observations/307262177
Ephoron virgo,546144,2025-08-18,2025-08-18T15:02:53.922Z,48.578718,13.4069359722,kastpaul,CC-BY-NC,https://www.inaturalist.org/observations/307285738
Ephoron virgo,546144,2025-08-19,2025-08-19T19:10:45.799Z,47.7163672245,19.0910367295,puheligy,CC-BY-NC,https://www.inaturalist.org/observations/307578716
Ephoron virgo,546144,2025-08-17,2025-08-20T03:27:32.857Z,47.8215770779,19.0329987317,ashababy,CC-BY-NC,https://www.inaturalist.org/observations/307664465
Ephoron virgo,546144,2025-08-20,2025-08-20T21:09:21.719Z,48.588188384,17.8398539498,tomasblazy,NA,https://www.inaturalist.org/observations/307828698
Pectinatella magnifica,68103,2025-08-22,2025-08-22T16:42:08.158Z,46.88766367,20.54165444,pans_panopticon,NA,https://www.inaturalist.org/observations/308224867
Ephoron virgo,546144,2025-08-20,2025-08-23T20:45:23.014Z,47.4791813952,19.0644208342,marslako,NA,https://www.inaturalist.org/observations/308533824
Ephoron virgo,546144,2025-08-14,2025-08-29T20:07:46.398Z,50.0003039298,8.0182275356,kamody,CC-BY-NC,https://www.inaturalist.org/observations/310046665
Craspedacusta sowerbii,208528,2025-08-30,2025-08-31T03:59:54.715Z,48.3319161137,7.7799111977,alexander59927,NA,https://www.inaturalist.org/observations/310390256
Ephoron virgo,546144,2025-08-09,2025-08-31T12:52:10.725Z,47.5116716667,19.0397305,raina420,CC-BY-NC,https://www.inaturalist.org/observations/310462104
Pectinatella magnifica,68103,2025-09-01,2025-09-01T11:32:56.993Z,48.0327954607,21.3737143102,blukacs,CC-BY-NC,https://www.inaturalist.org/observations/310735397
Craspedacusta sowerbii,208528,2025-07-26,2025-09-01T20:02:43.445Z,48.0670012553,17.6804752126,fero,CC-BY-NC,https://www.inaturalist.org/observations/310851967
Craspedacusta sowerbii,208528,2025-07-18,2025-09-16T20:38:55.104Z,48.1753652703,11.2465406209,luketreewalker,CC-BY-NC,https://www.inaturalist.org/observations/314429762
Craspedacusta sowerbii,208528,2025-09-17,2025-09-18T05:33:25.137Z,48.2137054696,16.4379719698,markkir,CC-BY-NC,https://www.inaturalist.org/observations/314730632
Craspedacusta sowerbii,208528,2025-09-19,2025-09-21T18:08:39.307Z,48.2600652855,7.7886072546,alexander59927,NA,https://www.inaturalist.org/observations/315588378
Craspedacusta sowerbii,208528,2025-09-21,2025-09-23T16:11:36.747Z,48.2611014171,7.7876074612,alexander59927,NA,https://www.inaturalist.org/observations/316078403
Craspedacusta sowerbii,208528,2025-10-04,2025-10-04T15:51:58.232Z,48.099674328,17.26910306,rudif,CC-BY-NC,https://www.inaturalist.org/observations/318650313
Ephoron virgo,546144,2025-08-09,2025-10-08T19:21:40.964Z,47.5705605838,19.0650769696,alexandrinama,CC-BY-NC,https://www.inaturalist.org/observations/319621360
Craspedacusta sowerbii,208528,2025-10-25,2025-10-31T10:24:49.903Z,47.8690758972,16.3868635706,berghia,CC-BY-NC,https://www.inaturalist.org/observations/324130843
Palingenia longicauda,570367,2025-06-21,2026-04-21T11:49:53.159Z,46.4985409853,20.1787732842,zsofi88488,CC-BY-NC,https://www.inaturalist.org/observations/351697515
Pectinatella magnifica,68103,2026-05-02,2026-05-02T14:31:27.915Z,48.0195388333,18.9603083333,mrokauz,NA,https://www.inaturalist.org/observations/357526345
Palingenia longicauda,570367,2025-06-11,2026-05-03T13:49:47.998Z,45.4238622601,20.2268945798,momiza,CC-BY-NC,https://www.inaturalist.org/observations/357900679
Palingenia longicauda,570367,2025-06-15,2026-05-11T12:26:19.687Z,45.4236669478,20.2269036323,momiza,CC-BY-NC,https://www.inaturalist.org/observations/360571320
Palingenia longicauda,570367,2025-06-13,2026-05-11T12:29:11.315Z,45.4237142464,20.226862058,momiza,CC-BY-NC,https://www.inaturalist.org/observations/360571896
Palingenia longicauda,570367,2025-06-07,2026-05-11T12:34:31.477Z,45.4236594176,20.2269502357,momiza,CC-BY-NC,https://www.inaturalist.org/observations/360573028
Craspedacusta sowerbii,208528,2026-06-14,2026-06-14T17:05:47.265Z,45.7787292791,16.024233761,dominikf,CC-BY-NC,https://www.inaturalist.org/observations/371663415
Craspedacusta sowerbii,208528,2026-06-18,2026-06-22T10:06:47.509Z,46.241592203,20.1721007377,cicadella,CC-BY-NC,https://www.inaturalist.org/observations/374245540
Pectinatella magnifica,68103,2026-06-25,2026-06-25T10:09:43.230Z,49.1262764,12.1261548,mukkupuk,CC-BY-NC,https://www.inaturalist.org/observations/375178275
Ephoron virgo,546144,2026-06-26,2026-06-26T11:48:04.760Z,50.1367649113,8.7043074529,anetteffm,CC-BY-NC,https://www.inaturalist.org/observations/375490935
Craspedacusta sowerbii,208528,2026-06-28,2026-06-30T22:00:42.650Z,45.7765166667,16.0224638333,kolumbarij,CC-BY-NC,https://www.inaturalist.org/observations/376972472
Pectinatella magnifica,68103,2026-07-03,2026-07-03T16:18:35.264Z,47.2371625945,18.97550884,zsokamoka,CC-BY-NC,https://www.inaturalist.org/observations/377770937
Ephoron virgo,546144,2026-07-04,2026-07-05T10:00:50.712Z,47.4338993514,16.4007132222,benjaminschedl,CC-BY,https://www.inaturalist.org/observations/378340049
Craspedacusta sowerbii,208528,2026-07-05,2026-07-05T14:17:26.229Z,48.5211006396,10.440711913,merlot_s,NA,https://www.inaturalist.org/observations/378400688
Craspedacusta sowerbii,208528,2026-07-13,2026-07-13T14:49:34.571Z,52.6033166667,13.2054466667,tom_solger,CC-BY-NC,https://www.inaturalist.org/observations/381047329
Pectinatella magnifica,68103,2026-07-12,2026-07-13T16:02:21.984Z,52.7851898327,13.3293827142,dailyexpedition,CC-BY-NC,https://www.inaturalist.org/observations/381071285
Ephoron virgo,546144,2026-07-14,2026-07-14T10:33:12.799Z,46.7247190278,18.7075064056,dvid_horvath,CC-BY,https://www.inaturalist.org/observations/381327350
